id;name;image;search;twitter;twitter2;instagram
238;Cosmopolitan;;;https://twitter.com/Cosmopolitan_es;;http://instagram.com/Cosmopolitan
239;Glamour España;;;https://twitter.com/GlamourSpain;;http://instagram.com/GlamourSpain
240;Fele Martínez;;;https://twitter.com/felemanypon;;
241;Pablo Carbonell;;;https://twitter.com/Carbonellsg;;
242;Carlos Santos;;;https://twitter.com/carlos_santos_r;;
243;Paco Tous;;;https://twitter.com/pacotous;;
244;Antonio Zabalburu;;;https://twitter.com/A_Zabalburu;;
245;Diana Palazón;;;https://twitter.com/PalazonDiana;;http://instagram.com/impalazon/
246;Luis Callejo;;;https://twitter.com/Luis_Callejo;;
247;William Miller;;;https://twitter.com/williammiller5;;
248;Irene Visedo;;;https://twitter.com/ivisedo;;
249;Pablo Derqui;;;https://twitter.com/PabloDerqui;;
250;Lujan Argüelles;;;https://twitter.com/LUJAN_AR;;
251;Nathalie Pozas;;;https://twitter.com/PozaNathalie;;
252;Premios Feroz;;;https://twitter.com/PremiosFeroz;;
253;MAS TVE;;;https://twitter.com/mas_TVE;;
254;GoyArggg;;;https://twitter.com/GoyArggg;;
255;Javier Bardem;;bardemoficial;https://twitter.com/bardemoficial;;
